CUIL;DISCHARGE_DATE;UPDATED_DEBT;STATE;;
20-21566897-1;2016-06-15;1,564,000.00;DEFAULT DEBTOR 1;;
20-21566898-2;2019-08-01;154,800.00;DEFAULT DEBTOR 2;;
20-21566899-3;2018-08-25;259,600.00;BAD DEBT;;
20-21566900-4;2022-06-09;2,580,000.00;JUDICIALIZED DEBTOR;;
20-21566901-5;2024-03-02;8,955.00;BAD DEBT;;
20-21566902-6;2019-12-12;64,800.00;DEFAULT DEBTOR 1;;
20-21566903-7;2015-01-04;96,511.00;BAD DEBT;;
20-21566904-8;2021-07-11;479,852.00;JUDICIALIZED DEBTOR;;
20-21566905-9;2021-06-16;1,715,444.00;DEFAULT DEBTOR 1;;
20-21566906-0;2022-11-03;348,974.00;DEFAULT DEBTOR 1;;
